image$caption
synthetic_image_1.png$[{'name': 'green', 'keypoint': {'x': 298, 'y': 428}}, {'name': 'green', 'keypoint': {'x': 117, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 426, 'y': 619}}, {'name': 'blue', 'keypoint': {'x': 87, 'y': 367}}, {'name': 'green', 'keypoint': {'x': 240, 'y': 366}}, {'name': 'blue', 'keypoint': {'x': 430, 'y': 476}}, {'name': 'green', 'keypoint': {'x': 157, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 25, 'y': 457}}, {'name': 'green', 'keypoint': {'x': 424, 'y': 371}}, {'name': 'green', 'keypoint': {'x': 401, 'y': 475}}]
synthetic_image_111.png$[{'name': 'orange', 'keypoint': {'x': 678, 'y': 436}}, {'name': 'yellow', 'keypoint': {'x': 690, 'y': 590}}, {'name': 'yellow', 'keypoint': {'x': 396, 'y': 458}}, {'name': 'green', 'keypoint': {'x': 298, 'y': 396}}, {'name': 'blue', 'keypoint': {'x': 449, 'y': 566}}, {'name': 'blue', 'keypoint': {'x': 168, 'y': 529}}, {'name': 'blue', 'keypoint': {'x': 269, 'y': 420}}, {'name': 'orange', 'keypoint': {'x': 282, 'y': 447}}, {'name': 'orange', 'keypoint': {'x': 695, 'y': 392}}, {'name': 'green', 'keypoint': {'x': 236, 'y': 448}}]
synthetic_image_112.png$[{'name': 'orange', 'keypoint': {'x': 618, 'y': 533}}, {'name': 'orange', 'keypoint': {'x': 1, 'y': 463}}, {'name': 'green', 'keypoint': {'x': 31, 'y': 426}}, {'name': 'yellow', 'keypoint': {'x': 320, 'y': 508}}, {'name': 'yellow', 'keypoint': {'x': 370, 'y': 572}}, {'name': 'green', 'keypoint': {'x': 268, 'y': 628}}, {'name': 'yellow', 'keypoint': {'x': 261, 'y': 508}}, {'name': 'yellow', 'keypoint': {'x': 434, 'y': 595}}, {'name': 'blue', 'keypoint': {'x': 415, 'y': 629}}, {'name': 'yellow', 'keypoint': {'x': 332, 'y': 460}}]
synthetic_image_113.png$[{'name': 'yellow', 'keypoint': {'x': 463, 'y': 578}}, {'name': 'blue', 'keypoint': {'x': 445, 'y': 565}}, {'name': 'yellow', 'keypoint': {'x': 155, 'y': 633}}, {'name': 'green', 'keypoint': {'x': 71, 'y': 594}}, {'name': 'orange', 'keypoint': {'x': 542, 'y': 607}}, {'name': 'yellow', 'keypoint': {'x': 635, 'y': 367}}, {'name': 'orange', 'keypoint': {'x': 582, 'y': 620}}, {'name': 'blue', 'keypoint': {'x': 497, 'y': 572}}, {'name': 'green', 'keypoint': {'x': 440, 'y': 548}}, {'name': 'orange', 'keypoint': {'x': 631, 'y': 383}}]
synthetic_image_114.png$[{'name': 'yellow', 'keypoint': {'x': 75, 'y': 551}}, {'name': 'blue', 'keypoint': {'x': 122, 'y': 521}}, {'name': 'green', 'keypoint': {'x': 205, 'y': 446}}, {'name': 'blue', 'keypoint': {'x': 407, 'y': 513}}, {'name': 'blue', 'keypoint': {'x': 253, 'y': 618}}, {'name': 'blue', 'keypoint': {'x': 322, 'y': 375}}, {'name': 'orange', 'keypoint': {'x': 61, 'y': 477}}, {'name': 'yellow', 'keypoint': {'x': 397, 'y': 431}}, {'name': 'orange', 'keypoint': {'x': 116, 'y': 465}}, {'name': 'green', 'keypoint': {'x': 561, 'y': 395}}]
synthetic_image_115.png$[{'name': 'orange', 'keypoint': {'x': 500, 'y': 571}}, {'name': 'green', 'keypoint': {'x': 239, 'y': 599}}, {'name': 'green', 'keypoint': {'x': 437, 'y': 495}}, {'name': 'blue', 'keypoint': {'x': 367, 'y': 582}}, {'name': 'green', 'keypoint': {'x': 583, 'y': 489}}, {'name': 'blue', 'keypoint': {'x': 676, 'y': 453}}, {'name': 'orange', 'keypoint': {'x': 466, 'y': 458}}, {'name': 'orange', 'keypoint': {'x': 690, 'y': 360}}, {'name': 'blue', 'keypoint': {'x': 599, 'y': 424}}, {'name': 'orange', 'keypoint': {'x': 226, 'y': 624}}]
synthetic_image_116.png$[{'name': 'green', 'keypoint': {'x': 562, 'y': 627}}, {'name': 'green', 'keypoint': {'x': 540, 'y': 473}}, {'name': 'blue', 'keypoint': {'x': 163, 'y': 542}}, {'name': 'orange', 'keypoint': {'x': 432, 'y': 450}}, {'name': 'blue', 'keypoint': {'x': 204, 'y': 408}}, {'name': 'green', 'keypoint': {'x': 55, 'y': 379}}, {'name': 'blue', 'keypoint': {'x': 273, 'y': 384}}, {'name': 'yellow', 'keypoint': {'x': 283, 'y': 548}}, {'name': 'yellow', 'keypoint': {'x': 87, 'y': 608}}, {'name': 'green', 'keypoint': {'x': 430, 'y': 383}}]
synthetic_image_117.png$[{'name': 'blue', 'keypoint': {'x': 435, 'y': 433}}, {'name': 'blue', 'keypoint': {'x': 335, 'y': 615}}, {'name': 'blue', 'keypoint': {'x': 553, 'y': 441}}, {'name': 'green', 'keypoint': {'x': 419, 'y': 444}}, {'name': 'blue', 'keypoint': {'x': 612, 'y': 422}}, {'name': 'orange', 'keypoint': {'x': 720, 'y': 606}}, {'name': 'yellow', 'keypoint': {'x': 446, 'y': 519}}, {'name': 'yellow', 'keypoint': {'x': 585, 'y': 361}}, {'name': 'yellow', 'keypoint': {'x': 132, 'y': 587}}, {'name': 'yellow', 'keypoint': {'x': 638, 'y': 437}}]
synthetic_image_118.png$[{'name': 'blue', 'keypoint': {'x': 612, 'y': 494}}, {'name': 'orange', 'keypoint': {'x': 84, 'y': 468}}, {'name': 'yellow', 'keypoint': {'x': 46, 'y': 432}}, {'name': 'blue', 'keypoint': {'x': 322, 'y': 360}}, {'name': 'blue', 'keypoint': {'x': 63, 'y': 540}}, {'name': 'orange', 'keypoint': {'x': 621, 'y': 499}}, {'name': 'yellow', 'keypoint': {'x': 384, 'y': 440}}, {'name': 'orange', 'keypoint': {'x': 606, 'y': 534}}, {'name': 'yellow', 'keypoint': {'x': 407, 'y': 415}}, {'name': 'blue', 'keypoint': {'x': 10, 'y': 471}}]
synthetic_image_119.png$[{'name': 'blue', 'keypoint': {'x': 481, 'y': 611}}, {'name': 'green', 'keypoint': {'x': 428, 'y': 625}}, {'name': 'blue', 'keypoint': {'x': 338, 'y': 373}}, {'name': 'yellow', 'keypoint': {'x': 482, 'y': 416}}, {'name': 'orange', 'keypoint': {'x': 663, 'y': 436}}, {'name': 'orange', 'keypoint': {'x': 187, 'y': 465}}, {'name': 'green', 'keypoint': {'x': 345, 'y': 553}}, {'name': 'green', 'keypoint': {'x': 1, 'y': 595}}, {'name': 'blue', 'keypoint': {'x': 269, 'y': 467}}, {'name': 'orange', 'keypoint': {'x': 515, 'y': 396}}]
synthetic_image_120.png$[{'name': 'blue', 'keypoint': {'x': 636, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 541, 'y': 445}}, {'name': 'orange', 'keypoint': {'x': 198, 'y': 420}}, {'name': 'blue', 'keypoint': {'x': 249, 'y': 450}}, {'name': 'yellow', 'keypoint': {'x': 653, 'y': 573}}, {'name': 'blue', 'keypoint': {'x': 257, 'y': 491}}, {'name': 'orange', 'keypoint': {'x': 324, 'y': 417}}, {'name': 'green', 'keypoint': {'x': 298, 'y': 609}}, {'name': 'orange', 'keypoint': {'x': 702, 'y': 425}}, {'name': 'green', 'keypoint': {'x': 73, 'y': 598}}]
synthetic_image_121.png$[{'name': 'orange', 'keypoint': {'x': 48, 'y': 604}}, {'name': 'green', 'keypoint': {'x': 409, 'y': 579}}, {'name': 'yellow', 'keypoint': {'x': 381, 'y': 507}}, {'name': 'orange', 'keypoint': {'x': 35, 'y': 482}}, {'name': 'blue', 'keypoint': {'x': 602, 'y': 579}}, {'name': 'orange', 'keypoint': {'x': 366, 'y': 454}}, {'name': 'blue', 'keypoint': {'x': 292, 'y': 443}}, {'name': 'green', 'keypoint': {'x': 41, 'y': 604}}, {'name': 'orange', 'keypoint': {'x': 623, 'y': 627}}, {'name': 'yellow', 'keypoint': {'x': 599, 'y': 484}}]
synthetic_image_122.png$[{'name': 'green', 'keypoint': {'x': 439, 'y': 426}}, {'name': 'yellow', 'keypoint': {'x': 173, 'y': 604}}, {'name': 'yellow', 'keypoint': {'x': 443, 'y': 499}}, {'name': 'orange', 'keypoint': {'x': 499, 'y': 415}}, {'name': 'blue', 'keypoint': {'x': 297, 'y': 609}}, {'name': 'yellow', 'keypoint': {'x': 698, 'y': 600}}, {'name': 'green', 'keypoint': {'x': 168, 'y': 588}}, {'name': 'blue', 'keypoint': {'x': 73, 'y': 510}}, {'name': 'orange', 'keypoint': {'x': 314, 'y': 463}}, {'name': 'yellow', 'keypoint': {'x': 151, 'y': 522}}]
synthetic_image_123.png$[{'name': 'green', 'keypoint': {'x': 194, 'y': 508}}, {'name': 'yellow', 'keypoint': {'x': 377, 'y': 587}}, {'name': 'orange', 'keypoint': {'x': 152, 'y': 531}}, {'name': 'green', 'keypoint': {'x': 477, 'y': 417}}, {'name': 'orange', 'keypoint': {'x': 271, 'y': 586}}, {'name': 'yellow', 'keypoint': {'x': 583, 'y': 435}}, {'name': 'orange', 'keypoint': {'x': 450, 'y': 456}}, {'name': 'green', 'keypoint': {'x': 561, 'y': 538}}, {'name': 'green', 'keypoint': {'x': 648, 'y': 461}}, {'name': 'orange', 'keypoint': {'x': 403, 'y': 425}}]
synthetic_image_124.png$[{'name': 'orange', 'keypoint': {'x': 110, 'y': 568}}, {'name': 'yellow', 'keypoint': {'x': 227, 'y': 420}}, {'name': 'yellow', 'keypoint': {'x': 426, 'y': 473}}, {'name': 'orange', 'keypoint': {'x': 490, 'y': 408}}, {'name': 'blue', 'keypoint': {'x': 198, 'y': 491}}, {'name': 'orange', 'keypoint': {'x': 140, 'y': 597}}, {'name': 'green', 'keypoint': {'x': 377, 'y': 459}}, {'name': 'orange', 'keypoint': {'x': 511, 'y': 576}}, {'name': 'orange', 'keypoint': {'x': 541, 'y': 518}}, {'name': 'green', 'keypoint': {'x': 558, 'y': 458}}]
synthetic_image_125.png$[{'name': 'yellow', 'keypoint': {'x': 216, 'y': 428}}, {'name': 'green', 'keypoint': {'x': 601, 'y': 362}}, {'name': 'green', 'keypoint': {'x': 238, 'y': 460}}, {'name': 'green', 'keypoint': {'x': 501, 'y': 554}}, {'name': 'orange', 'keypoint': {'x': 511, 'y': 620}}, {'name': 'blue', 'keypoint': {'x': 99, 'y': 432}}, {'name': 'blue', 'keypoint': {'x': 47, 'y': 431}}, {'name': 'green', 'keypoint': {'x': 574, 'y': 489}}, {'name': 'green', 'keypoint': {'x': 711, 'y': 526}}, {'name': 'green', 'keypoint': {'x': 335, 'y': 509}}]
synthetic_image_126.png$[{'name': 'green', 'keypoint': {'x': 239, 'y': 367}}, {'name': 'blue', 'keypoint': {'x': 503, 'y': 481}}, {'name': 'yellow', 'keypoint': {'x': 489, 'y': 536}}, {'name': 'yellow', 'keypoint': {'x': 104, 'y': 581}}, {'name': 'orange', 'keypoint': {'x': 399, 'y': 390}}, {'name': 'blue', 'keypoint': {'x': 681, 'y': 587}}, {'name': 'blue', 'keypoint': {'x': 58, 'y': 384}}, {'name': 'yellow', 'keypoint': {'x': 406, 'y': 446}}, {'name': 'orange', 'keypoint': {'x': 22, 'y': 548}}, {'name': 'orange', 'keypoint': {'x': 674, 'y': 606}}]
synthetic_image_127.png$[{'name': 'yellow', 'keypoint': {'x': 504, 'y': 440}}, {'name': 'yellow', 'keypoint': {'x': 0, 'y': 602}}, {'name': 'green', 'keypoint': {'x': 119, 'y': 446}}, {'name': 'blue', 'keypoint': {'x': 718, 'y': 367}}, {'name': 'blue', 'keypoint': {'x': 471, 'y': 519}}, {'name': 'green', 'keypoint': {'x': 140, 'y': 580}}, {'name': 'green', 'keypoint': {'x': 522, 'y': 567}}, {'name': 'blue', 'keypoint': {'x': 513, 'y': 471}}, {'name': 'orange', 'keypoint': {'x': 424, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 183, 'y': 515}}]
synthetic_image_128.png$[{'name': 'blue', 'keypoint': {'x': 575, 'y': 525}}, {'name': 'green', 'keypoint': {'x': 143, 'y': 439}}, {'name': 'yellow', 'keypoint': {'x': 254, 'y': 620}}, {'name': 'blue', 'keypoint': {'x': 544, 'y': 516}}, {'name': 'green', 'keypoint': {'x': 38, 'y': 576}}, {'name': 'yellow', 'keypoint': {'x': 139, 'y': 410}}, {'name': 'blue', 'keypoint': {'x': 577, 'y': 461}}, {'name': 'yellow', 'keypoint': {'x': 380, 'y': 553}}, {'name': 'orange', 'keypoint': {'x': 27, 'y': 456}}, {'name': 'blue', 'keypoint': {'x': 23, 'y': 422}}]
synthetic_image_129.png$[{'name': 'green', 'keypoint': {'x': 392, 'y': 410}}, {'name': 'orange', 'keypoint': {'x': 615, 'y': 416}}, {'name': 'green', 'keypoint': {'x': 301, 'y': 565}}, {'name': 'yellow', 'keypoint': {'x': 372, 'y': 633}}, {'name': 'orange', 'keypoint': {'x': 714, 'y': 455}}, {'name': 'green', 'keypoint': {'x': 548, 'y': 543}}, {'name': 'blue', 'keypoint': {'x': 341, 'y': 475}}, {'name': 'orange', 'keypoint': {'x': 296, 'y': 610}}, {'name': 'green', 'keypoint': {'x': 620, 'y': 558}}, {'name': 'green', 'keypoint': {'x': 708, 'y': 421}}]
synthetic_image_130.png$[{'name': 'yellow', 'keypoint': {'x': 504, 'y': 416}}, {'name': 'orange', 'keypoint': {'x': 79, 'y': 454}}, {'name': 'green', 'keypoint': {'x': 645, 'y': 415}}, {'name': 'orange', 'keypoint': {'x': 651, 'y': 535}}, {'name': 'yellow', 'keypoint': {'x': 468, 'y': 503}}, {'name': 'yellow', 'keypoint': {'x': 543, 'y': 543}}, {'name': 'green', 'keypoint': {'x': 715, 'y': 531}}, {'name': 'green', 'keypoint': {'x': 462, 'y': 517}}, {'name': 'green', 'keypoint': {'x': 676, 'y': 548}}, {'name': 'blue', 'keypoint': {'x': 342, 'y': 607}}]
synthetic_image_131.png$[{'name': 'yellow', 'keypoint': {'x': 556, 'y': 623}}, {'name': 'orange', 'keypoint': {'x': 687, 'y': 609}}, {'name': 'orange', 'keypoint': {'x': 299, 'y': 427}}, {'name': 'orange', 'keypoint': {'x': 95, 'y': 459}}, {'name': 'yellow', 'keypoint': {'x': 328, 'y': 555}}, {'name': 'green', 'keypoint': {'x': 641, 'y': 408}}, {'name': 'orange', 'keypoint': {'x': 29, 'y': 574}}, {'name': 'yellow', 'keypoint': {'x': 704, 'y': 404}}, {'name': 'blue', 'keypoint': {'x': 18, 'y': 479}}, {'name': 'yellow', 'keypoint': {'x': 356, 'y': 453}}]
synthetic_image_132.png$[{'name': 'yellow', 'keypoint': {'x': 118, 'y': 516}}, {'name': 'yellow', 'keypoint': {'x': 259, 'y': 402}}, {'name': 'yellow', 'keypoint': {'x': 604, 'y': 586}}, {'name': 'blue', 'keypoint': {'x': 707, 'y': 375}}, {'name': 'yellow', 'keypoint': {'x': 381, 'y': 391}}, {'name': 'orange', 'keypoint': {'x': 705, 'y': 444}}, {'name': 'green', 'keypoint': {'x': 562, 'y': 488}}, {'name': 'yellow', 'keypoint': {'x': 402, 'y': 446}}, {'name': 'orange', 'keypoint': {'x': 334, 'y': 569}}, {'name': 'yellow', 'keypoint': {'x': 716, 'y': 501}}]
synthetic_image_133.png$[{'name': 'yellow', 'keypoint': {'x': 224, 'y': 494}}, {'name': 'yellow', 'keypoint': {'x': 190, 'y': 467}}, {'name': 'blue', 'keypoint': {'x': 686, 'y': 568}}, {'name': 'orange', 'keypoint': {'x': 515, 'y': 368}}, {'name': 'yellow', 'keypoint': {'x': 571, 'y': 432}}, {'name': 'orange', 'keypoint': {'x': 246, 'y': 399}}, {'name': 'orange', 'keypoint': {'x': 445, 'y': 487}}, {'name': 'yellow', 'keypoint': {'x': 318, 'y': 550}}, {'name': 'orange', 'keypoint': {'x': 679, 'y': 465}}, {'name': 'yellow', 'keypoint': {'x': 387, 'y': 405}}]
synthetic_image_134.png$[{'name': 'orange', 'keypoint': {'x': 598, 'y': 403}}, {'name': 'green', 'keypoint': {'x': 185, 'y': 530}}, {'name': 'green', 'keypoint': {'x': 195, 'y': 492}}, {'name': 'yellow', 'keypoint': {'x': 106, 'y': 448}}, {'name': 'orange', 'keypoint': {'x': 146, 'y': 502}}, {'name': 'blue', 'keypoint': {'x': 575, 'y': 518}}, {'name': 'blue', 'keypoint': {'x': 420, 'y': 453}}, {'name': 'orange', 'keypoint': {'x': 108, 'y': 599}}, {'name': 'blue', 'keypoint': {'x': 578, 'y': 604}}, {'name': 'orange', 'keypoint': {'x': 350, 'y': 534}}]
synthetic_image_135.png$[{'name': 'yellow', 'keypoint': {'x': 76, 'y': 463}}, {'name': 'orange', 'keypoint': {'x': 720, 'y': 387}}, {'name': 'orange', 'keypoint': {'x': 316, 'y': 539}}, {'name': 'yellow', 'keypoint': {'x': 197, 'y': 517}}, {'name': 'orange', 'keypoint': {'x': 62, 'y': 411}}, {'name': 'yellow', 'keypoint': {'x': 300, 'y': 516}}, {'name': 'green', 'keypoint': {'x': 714, 'y': 378}}, {'name': 'green', 'keypoint': {'x': 414, 'y': 634}}, {'name': 'blue', 'keypoint': {'x': 36, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 628, 'y': 550}}]
synthetic_image_136.png$[{'name': 'green', 'keypoint': {'x': 301, 'y': 503}}, {'name': 'green', 'keypoint': {'x': 488, 'y': 464}}, {'name': 'green', 'keypoint': {'x': 10, 'y': 607}}, {'name': 'green', 'keypoint': {'x': 396, 'y': 382}}, {'name': 'orange', 'keypoint': {'x': 153, 'y': 498}}, {'name': 'blue', 'keypoint': {'x': 227, 'y': 563}}, {'name': 'orange', 'keypoint': {'x': 156, 'y': 400}}, {'name': 'orange', 'keypoint': {'x': 691, 'y': 370}}, {'name': 'yellow', 'keypoint': {'x': 429, 'y': 539}}, {'name': 'orange', 'keypoint': {'x': 229, 'y': 454}}]
synthetic_image_137.png$[{'name': 'orange', 'keypoint': {'x': 708, 'y': 612}}, {'name': 'orange', 'keypoint': {'x': 496, 'y': 445}}, {'name': 'green', 'keypoint': {'x': 294, 'y': 403}}, {'name': 'blue', 'keypoint': {'x': 149, 'y': 415}}, {'name': 'blue', 'keypoint': {'x': 712, 'y': 563}}, {'name': 'blue', 'keypoint': {'x': 629, 'y': 463}}, {'name': 'blue', 'keypoint': {'x': 550, 'y': 601}}, {'name': 'yellow', 'keypoint': {'x': 666, 'y': 601}}, {'name': 'green', 'keypoint': {'x': 275, 'y': 388}}, {'name': 'blue', 'keypoint': {'x': 158, 'y': 596}}]
synthetic_image_138.png$[{'name': 'yellow', 'keypoint': {'x': 135, 'y': 528}}, {'name': 'yellow', 'keypoint': {'x': 193, 'y': 511}}, {'name': 'yellow', 'keypoint': {'x': 699, 'y': 632}}, {'name': 'yellow', 'keypoint': {'x': 698, 'y': 483}}, {'name': 'yellow', 'keypoint': {'x': 220, 'y': 546}}, {'name': 'green', 'keypoint': {'x': 702, 'y': 408}}, {'name': 'yellow', 'keypoint': {'x': 454, 'y': 470}}, {'name': 'blue', 'keypoint': {'x': 569, 'y': 395}}, {'name': 'orange', 'keypoint': {'x': 451, 'y': 562}}, {'name': 'green', 'keypoint': {'x': 106, 'y': 590}}]
synthetic_image_139.png$[{'name': 'green', 'keypoint': {'x': 80, 'y': 407}}, {'name': 'blue', 'keypoint': {'x': 271, 'y': 592}}, {'name': 'orange', 'keypoint': {'x': 494, 'y': 591}}, {'name': 'green', 'keypoint': {'x': 68, 'y': 398}}, {'name': 'green', 'keypoint': {'x': 223, 'y': 454}}, {'name': 'yellow', 'keypoint': {'x': 538, 'y': 473}}, {'name': 'orange', 'keypoint': {'x': 343, 'y': 466}}, {'name': 'green', 'keypoint': {'x': 442, 'y': 515}}, {'name': 'orange', 'keypoint': {'x': 704, 'y': 522}}, {'name': 'blue', 'keypoint': {'x': 91, 'y': 383}}]
synthetic_image_140.png$[{'name': 'blue', 'keypoint': {'x': 89, 'y': 404}}, {'name': 'green', 'keypoint': {'x': 345, 'y': 623}}, {'name': 'blue', 'keypoint': {'x': 315, 'y': 377}}, {'name': 'green', 'keypoint': {'x': 408, 'y': 394}}, {'name': 'green', 'keypoint': {'x': 683, 'y': 507}}, {'name': 'blue', 'keypoint': {'x': 240, 'y': 631}}, {'name': 'blue', 'keypoint': {'x': 135, 'y': 506}}, {'name': 'yellow', 'keypoint': {'x': 303, 'y': 379}}, {'name': 'blue', 'keypoint': {'x': 216, 'y': 604}}, {'name': 'blue', 'keypoint': {'x': 611, 'y': 368}}]
synthetic_image_141.png$[{'name': 'yellow', 'keypoint': {'x': 93, 'y': 362}}, {'name': 'green', 'keypoint': {'x': 717, 'y': 390}}, {'name': 'yellow', 'keypoint': {'x': 393, 'y': 508}}, {'name': 'green', 'keypoint': {'x': 449, 'y': 455}}, {'name': 'green', 'keypoint': {'x': 639, 'y': 621}}, {'name': 'green', 'keypoint': {'x': 155, 'y': 364}}, {'name': 'orange', 'keypoint': {'x': 336, 'y': 436}}, {'name': 'yellow', 'keypoint': {'x': 314, 'y': 405}}, {'name': 'blue', 'keypoint': {'x': 321, 'y': 475}}, {'name': 'yellow', 'keypoint': {'x': 490, 'y': 519}}]
synthetic_image_142.png$[{'name': 'green', 'keypoint': {'x': 631, 'y': 579}}, {'name': 'green', 'keypoint': {'x': 679, 'y': 558}}, {'name': 'green', 'keypoint': {'x': 522, 'y': 525}}, {'name': 'orange', 'keypoint': {'x': 705, 'y': 593}}, {'name': 'green', 'keypoint': {'x': 201, 'y': 401}}, {'name': 'blue', 'keypoint': {'x': 641, 'y': 595}}, {'name': 'green', 'keypoint': {'x': 420, 'y': 376}}, {'name': 'yellow', 'keypoint': {'x': 24, 'y': 450}}, {'name': 'orange', 'keypoint': {'x': 545, 'y': 541}}, {'name': 'yellow', 'keypoint': {'x': 468, 'y': 585}}]
synthetic_image_143.png$[{'name': 'yellow', 'keypoint': {'x': 390, 'y': 571}}, {'name': 'blue', 'keypoint': {'x': 317, 'y': 398}}, {'name': 'orange', 'keypoint': {'x': 401, 'y': 571}}, {'name': 'orange', 'keypoint': {'x': 146, 'y': 435}}, {'name': 'yellow', 'keypoint': {'x': 385, 'y': 464}}, {'name': 'green', 'keypoint': {'x': 350, 'y': 529}}, {'name': 'blue', 'keypoint': {'x': 593, 'y': 484}}, {'name': 'blue', 'keypoint': {'x': 44, 'y': 416}}, {'name': 'green', 'keypoint': {'x': 494, 'y': 535}}, {'name': 'green', 'keypoint': {'x': 675, 'y': 385}}]
synthetic_image_144.png$[{'name': 'green', 'keypoint': {'x': 74, 'y': 404}}, {'name': 'orange', 'keypoint': {'x': 461, 'y': 475}}, {'name': 'blue', 'keypoint': {'x': 644, 'y': 523}}, {'name': 'yellow', 'keypoint': {'x': 392, 'y': 400}}, {'name': 'yellow', 'keypoint': {'x': 580, 'y': 562}}, {'name': 'yellow', 'keypoint': {'x': 73, 'y': 591}}, {'name': 'green', 'keypoint': {'x': 660, 'y': 460}}, {'name': 'orange', 'keypoint': {'x': 350, 'y': 614}}, {'name': 'yellow', 'keypoint': {'x': 389, 'y': 366}}, {'name': 'green', 'keypoint': {'x': 252, 'y': 626}}]
synthetic_image_145.png$[{'name': 'green', 'keypoint': {'x': 332, 'y': 393}}, {'name': 'blue', 'keypoint': {'x': 415, 'y': 621}}, {'name': 'green', 'keypoint': {'x': 56, 'y': 422}}, {'name': 'green', 'keypoint': {'x': 322, 'y': 472}}, {'name': 'green', 'keypoint': {'x': 290, 'y': 478}}, {'name': 'blue', 'keypoint': {'x': 132, 'y': 410}}, {'name': 'orange', 'keypoint': {'x': 390, 'y': 390}}, {'name': 'blue', 'keypoint': {'x': 451, 'y': 564}}, {'name': 'green', 'keypoint': {'x': 336, 'y': 493}}, {'name': 'blue', 'keypoint': {'x': 458, 'y': 619}}]
synthetic_image_146.png$[{'name': 'orange', 'keypoint': {'x': 329, 'y': 553}}, {'name': 'blue', 'keypoint': {'x': 323, 'y': 484}}, {'name': 'yellow', 'keypoint': {'x': 485, 'y': 537}}, {'name': 'yellow', 'keypoint': {'x': 52, 'y': 367}}, {'name': 'green', 'keypoint': {'x': 676, 'y': 448}}, {'name': 'green', 'keypoint': {'x': 707, 'y': 496}}, {'name': 'blue', 'keypoint': {'x': 587, 'y': 416}}, {'name': 'yellow', 'keypoint': {'x': 682, 'y': 628}}, {'name': 'green', 'keypoint': {'x': 418, 'y': 435}}, {'name': 'orange', 'keypoint': {'x': 641, 'y': 622}}]
synthetic_image_147.png$[{'name': 'green', 'keypoint': {'x': 405, 'y': 568}}, {'name': 'blue', 'keypoint': {'x': 559, 'y': 560}}, {'name': 'green', 'keypoint': {'x': 219, 'y': 450}}, {'name': 'orange', 'keypoint': {'x': 565, 'y': 470}}, {'name': 'orange', 'keypoint': {'x': 411, 'y': 555}}, {'name': 'green', 'keypoint': {'x': 471, 'y': 573}}, {'name': 'orange', 'keypoint': {'x': 497, 'y': 494}}, {'name': 'blue', 'keypoint': {'x': 687, 'y': 595}}, {'name': 'green', 'keypoint': {'x': 684, 'y': 374}}, {'name': 'yellow', 'keypoint': {'x': 554, 'y': 503}}]
synthetic_image_148.png$[{'name': 'orange', 'keypoint': {'x': 716, 'y': 425}}, {'name': 'green', 'keypoint': {'x': 585, 'y': 398}}, {'name': 'yellow', 'keypoint': {'x': 276, 'y': 473}}, {'name': 'blue', 'keypoint': {'x': 364, 'y': 605}}, {'name': 'yellow', 'keypoint': {'x': 85, 'y': 491}}, {'name': 'green', 'keypoint': {'x': 615, 'y': 371}}, {'name': 'orange', 'keypoint': {'x': 76, 'y': 602}}, {'name': 'orange', 'keypoint': {'x': 425, 'y': 423}}, {'name': 'blue', 'keypoint': {'x': 561, 'y': 620}}, {'name': 'orange', 'keypoint': {'x': 656, 'y': 534}}]
synthetic_image_149.png$[{'name': 'yellow', 'keypoint': {'x': 631, 'y': 588}}, {'name': 'green', 'keypoint': {'x': 688, 'y': 477}}, {'name': 'green', 'keypoint': {'x': 332, 'y': 374}}, {'name': 'yellow', 'keypoint': {'x': 197, 'y': 522}}, {'name': 'green', 'keypoint': {'x': 542, 'y': 471}}, {'name': 'yellow', 'keypoint': {'x': 214, 'y': 516}}, {'name': 'blue', 'keypoint': {'x': 261, 'y': 365}}, {'name': 'yellow', 'keypoint': {'x': 710, 'y': 617}}, {'name': 'green', 'keypoint': {'x': 542, 'y': 414}}, {'name': 'orange', 'keypoint': {'x': 81, 'y': 604}}]
synthetic_image_150.png$[{'name': 'yellow', 'keypoint': {'x': 478, 'y': 382}}, {'name': 'yellow', 'keypoint': {'x': 614, 'y': 373}}, {'name': 'yellow', 'keypoint': {'x': 416, 'y': 445}}, {'name': 'blue', 'keypoint': {'x': 177, 'y': 574}}, {'name': 'yellow', 'keypoint': {'x': 621, 'y': 464}}, {'name': 'yellow', 'keypoint': {'x': 684, 'y': 431}}, {'name': 'blue', 'keypoint': {'x': 663, 'y': 554}}, {'name': 'green', 'keypoint': {'x': 698, 'y': 437}}, {'name': 'green', 'keypoint': {'x': 665, 'y': 522}}, {'name': 'green', 'keypoint': {'x': 498, 'y': 542}}]
synthetic_image_151.png$[{'name': 'orange', 'keypoint': {'x': 478, 'y': 625}}, {'name': 'orange', 'keypoint': {'x': 498, 'y': 541}}, {'name': 'green', 'keypoint': {'x': 605, 'y': 407}}, {'name': 'orange', 'keypoint': {'x': 35, 'y': 618}}, {'name': 'green', 'keypoint': {'x': 103, 'y': 631}}, {'name': 'green', 'keypoint': {'x': 678, 'y': 379}}, {'name': 'green', 'keypoint': {'x': 306, 'y': 550}}, {'name': 'green', 'keypoint': {'x': 647, 'y': 395}}, {'name': 'blue', 'keypoint': {'x': 383, 'y': 374}}, {'name': 'orange', 'keypoint': {'x': 486, 'y': 534}}]
